a Spectral Type,a Deltai (deg),a Deltai +Unc,a Deltai -Unc,b Mstar (Msun),b Mstar +Unc,b Mstar -Unc,b Deltai (deg),b Deltai +Unc,b Deltai -Unc,c Teff (K),c Teff +Unc,c Teff -Unc,c Deltai (deg),c Deltai +Unc,c Deltai -Unc,d Rstar (Rsun),d Rstar +Unc,d Rstar -Unc,d Deltai (deg),d Deltai +Unc,d Deltai -Unc,e Prot (d),e Prot +Unc,e Prot -Unc,e Deltai (deg),e Deltai +Unc,e Deltai -Unc,f vsini (km/s),f vsini +Unc,f vsini -Unc,f Deltai (deg),f Deltai +Unc,f Deltai -Unc,g idisk (deg),g idisk +Unc,g idisk -Unc,g Deltai (deg),g Deltai +Unc,g Deltai -Unc,h istar (deg),h istar +Unc,h istar -Unc,h Deltai (deg),h Deltai +Unc,h Deltai -Unc
5.28,18.8,12.76316626,8.237001881,0.40016735,0.009898515,0.009898515,18.8,12.76316626,8.237001881,3453.15231,11.4998494,11.4998494,18.8,12.76316626,8.237001881,1.5,0.114657097,0.114657097,18.8,12.76316626,8.237001881,6.03,0.283058736,0.283058736,18.8,12.76316626,8.237001881,10.2,0.56,0.56,18.8,12.76316626,8.237001881,35.54,0.15,0.15,18.8,12.76316626,8.237001881,54.38,8.18000244,12.82284086,18.8,12.76316626,8.237001881
4.6,35.5,1.21900064,17.87958714,1.134530086,0.019259823,0.019259823,35.5,1.21900064,17.87958714,4332.06596,30.35099779,30.35099779,35.5,1.21900064,17.87958714,1.492,0.260566598,0.260566598,35.5,1.21900064,17.87958714,6.002855101,0.192386455,0.192386455,35.5,1.21900064,17.87958714,13.96216042,0.387676815,0.387676815,35.5,1.21900064,17.87958714,53.21,0.009,0.009,35.5,1.21900064,17.87958714,90.0,19.09462583,-2.58e-05,35.5,1.21900064,17.87958714
5.15,16.0,10.34599631,8.648403892,0.412058678,0.02525573,0.02525573,16.0,10.34599631,8.648403892,3610.981674,32.3766828,32.3766828,16.0,10.34599631,8.648403892,1.346,0.235068794,0.235068794,16.0,10.34599631,8.648403892,4.12,0.313325804,0.313325804,16.0,10.34599631,8.648403892,8.0,0.0,0.0,16.0,10.34599631,8.648403892,38.7,0.3,0.3,16.0,10.34599631,8.648403892,22.27,11.39904382,8.954979006,16.0,10.34599631,8.648403892
4.5,22.5,18.71599934,7.853535128,0.648294416,0.050876139,0.050876139,22.5,18.71599934,7.853535128,4158.516,74.91597231,74.91597231,22.5,18.71599934,7.853535128,2.243,0.391723109,0.391723109,22.5,18.71599934,7.853535128,7.249014544,0.272056632,0.272056632,22.5,18.71599934,7.853535128,14.78970261,0.46858662,0.46858662,22.5,18.71599934,7.853535128,48.4,0.11,0.11,22.5,18.71599934,7.853535128,71.03,7.618060625,18.96996013,22.5,18.71599934,7.853535128
5.05,8.1,8.181199682,8.1,0.548674032,0.030436762,0.030436762,8.1,8.181199682,8.1,3813.323949,26.97056353,26.97056353,8.1,8.181199682,8.1,1.543,0.121414243,0.121414243,8.1,8.181199682,8.1,5.649050279,0.18168682,0.18168682,8.1,8.181199682,8.1,11.12202916,0.328022028,0.328022028,8.1,8.181199682,8.1,45.235,0.325,0.325,8.1,8.181199682,8.1,53.66,6.917002827,10.32997819,8.1,8.181199682,8.1
5.1,10.5,4.775000836,7.540692649,0.694271267,0.017207948,0.017207948,10.5,4.775000836,7.540692649,3730.087183,26.56053285,26.56053285,10.5,4.775000836,7.540692649,2.252,0.176693749,0.176693749,10.5,4.775000836,7.540692649,6.28522175,0.210995938,0.210995938,10.5,4.775000836,7.540692649,14.08631836,0.421465373,0.421465373,10.5,4.775000836,7.540692649,62.115,0.195,0.195,10.5,4.775000836,7.540692649,51.06,6.3049996,8.984754424,10.5,4.775000836,7.540692649
4.55,36.9,2.831998078,18.68926595,1.158006745,0.0286878,0.0286878,36.9,2.831998078,18.68926595,4461.955535,36.83346455,36.83346455,36.9,2.831998078,18.68926595,1.607,0.280650485,0.280650485,36.9,2.831998078,18.68926595,5.757636503,0.176944133,0.176944133,36.9,2.831998078,18.68926595,14.75270685,0.346977228,0.346977228,36.9,2.831998078,18.68926595,50.16,0.03,0.03,36.9,2.831998078,18.68926595,90.0,21.50981269,-2.99e-05,36.9,2.831998078,18.68926595
5.5,9.7,4.074107929,8.737008872,0.213446159,0.004828463,0.004828463,9.7,4.074107929,8.737008872,3103.636817,57.01406719,57.01406719,9.7,4.074107929,8.737008872,0.994,0.077280492,0.077280492,9.7,4.074107929,8.737008872,1.94,0.024922364,0.024922364,9.7,4.074107929,8.737008872,20.9315,1.046575,1.046575,9.7,4.074107929,8.737008872,64.585,0.035,0.035,9.7,4.074107929,8.737008872,54.05,7.310005509,10.6819812,9.7,4.074107929,8.737008872
4.1,9.3,14.64435368,9.3,1.322237163,0.057711047,0.057711047,9.3,14.64435368,9.3,4588.940529,7.948404953,7.948404953,9.3,14.64435368,9.3,1.529,0.26702837,0.26702837,9.3,14.64435368,9.3,3.72,0.116527614,0.116527614,9.3,14.64435368,9.3,13.8096405,0.347021959,0.347021959,9.3,14.64435368,9.3,32.0,1.0,1.0,9.3,14.64435368,9.3,41.65,8.730051112,16.86813625,9.3,14.64435368,9.3
4.0,3.5,11.15956232,3.5,1.144852877,0.040771415,0.040771415,3.5,11.15956232,3.5,4619.30093,37.99004382,37.99004382,3.5,11.15956232,3.5,1.657,0.289382609,0.289382609,3.5,11.15956232,3.5,2.6,0.106486,0.106486,3.5,11.15956232,3.5,29.1,2.0,2.0,3.5,11.15956232,3.5,73.2,0.1,0.1,3.5,11.15956232,3.5,65.06,8.953992572,20.34115208,3.5,11.15956232,3.5
