Delta i (deg),Rayleigh (log-U Pr),Rayleigh (TG Pr),Gaussian (log-U Pr),Gaussian (TG Pr),Tr. Gaussian (U Pr)
19.200000000000003,0.03754329261999749,0.03770638990978595,0.06373603121155011,0.05733064756159948,0.017646351939706654
19.3,0.03726243874640645,0.037434335956129806,0.06248299112868436,0.05670464064655953,0.01751319994685659
19.400000000000002,0.03698025247445298,0.03716084639307435,0.0612465023267231,0.05614804161913832,0.017381052425498818
19.5,0.03669680622047512,0.03688599172769369,0.05991600840944288,0.055585315968339793,0.01724990179990753
19.6,0.036412171810075666,0.036609841939470665,0.058785788505595446,0.05499610691761859,0.017119740551463824
19.700000000000003,0.036126420462108746,0.0363324664644229,0.05753657208569547,0.05436986700318057,0.01699056121827977
19.8,0.035839622773109814,0.036053934179636746,0.05625995693662265,0.0537745562285931,0.016862356394639205
19.900000000000002,0.03555184870217051,0.03577431338821119,0.05500359201457881,0.05314434007527546,0.016735118730790186
20.0,0.03526316755625976,0.03549367180461325,0.05373210592925724,0.05257758135283013,0.016608840932300348
20.1,0.03497364797599166,0.03521207654044599,0.05240526495754183,0.052047468615328565,0.016483515759777814
20.200000000000003,0.03468335792184156,0.034929594090630775,0.051125160544799916,0.051492659112508485,0.016359136028455113
20.3,0.03439236466081004,0.034646290320004214,0.04988395134962619,0.050928496192061815,0.016235694607665527
20.400000000000002,0.03410073475353554,0.03436223045033066,0.04861261274195297,0.05033026609974212,0.01611318442056204
20.5,0.03380853404185541,0.034077479047730785,0.04730193787463973,0.04970448066026026,0.01599159844363738
20.6,0.033515827636815244,0.03379210001052631,0.045979807903041806,0.0490708655868575,0.01587092970635861
20.700000000000003,0.03322267990712589,0.03350615655750114,0.04477643789328676,0.04844087417189469,0.015751171290745894
20.8,0.03292915446806756,0.03321971121657848,0.043691250921862504,0.04780148607106642,0.01563231633097651
20.900000000000002,0.032635314170839966,0.032932825813913644,0.04247102809783304,0.047144300251224056,0.015514358013013057
21.0,0.03234122109235752,0.03264556146340194,0.04128818743140043,0.046463682030452966,0.015397289574184615
21.1,0.03204693652548811,0.03235797855660087,0.040013453760398734,0.04577979143101882,0.01528110430284165
21.200000000000003,0.03175252096973373,0.032070136753065526,0.03880736251865012,0.045096148850080855,0.015165795537880862
21.3,0.03145803412235162,0.03178209497109598,0.0376490984113206,0.04445235707213627,0.015051356668502932
21.400000000000002,0.031163534869913218,0.03149391137889536,0.03658659130074536,0.04382944405337117,0.014937781133729098
21.5,0.030869081280299582,0.031205643386136947,0.03554311614288892,0.043204007268362904,0.01482506242200618
21.6,0.03057473059512998,0.030917347635938404,0.03446649301695747,0.042487348690115195,0.014713194070969236
21.700000000000003,0.030280539222621854,0.0306290799972414,0.0334021540825381,0.041794664328036094,0.014602169666902082
21.8,0.029986562730878772,0.0303408955575942,0.03235432143023331,0.04105088499964697,0.014491982844491595
21.900000000000002,0.029692855841603777,0.03005284861633513,0.031323520488826806,0.040382894813808384,0.014382627286422364
22.0,0.029399472424234834,0.029764992678174243,0.030310234615448683,0.039652309152668014,0.014274096723008362
22.1,0.029106465490499,0.02947738044717058,0.029312535875200017,0.03890239985731253,0.01416638493184052
22.200000000000003,0.028813887189382013,0.029190063821102234,0.028300109704949766,0.03815829319566223,0.014059485737423922
22.3,0.028521788802509343,0.028903093886226056,0.027296948137472046,0.03741683419060351,0.0139533930108497
22.400000000000002,0.028230220739935197,0.02861652091242406,0.026350839182398392,0.03669663796937493,0.013848100669380286
22.5,0.027939232536335262,0.028330394348733023,0.02540835816159672,0.03599830149873804,0.013743602676227661
22.6,0.027648872847599093,0.028044762819253923,0.02448413939845472,0.035266837435208566,0.013639893040037022
22.700000000000003,0.027359189447817955,0.027759674119437583,0.023581100590689557,0.03455310219740744,0.01353696581466386
