Delta i (deg),KDE (deg)
42.6,0.007930285528531202
42.7,0.007877288776009975
42.8,0.007824701644638042
42.900000000000006,0.007772524528600056
43.0,0.007720757560963844
43.1,0.00766940061631717
43.2,0.007618453313477142
43.3,0.0075679150192498506
43.400000000000006,0.007517784850904841
43.5,0.0074680616800846065
43.6,0.007418744137145242
43.7,0.007369830613947781
43.8,0.0073213192694691195
43.900000000000006,0.0072732080328155235
44.0,0.007225494608997928
44.1,0.007178176482614246
44.2,0.007131250923836593
44.3,0.007084714992251152
44.400000000000006,0.007038565543506966
44.5,0.0069927992334252375
44.6,0.006947412524453479
44.7,0.006902401690767943
44.8,0.006857762824148282
44.900000000000006,0.006813491840234626
45.0,0.006769584483917701
45.1,0.006726036336113571
45.2,0.006682842819352882
45.3,0.00663999920444904
45.400000000000006,0.006597500616847917
45.5,0.006555342042728524
45.6,0.006513518335904209
45.7,0.006472024224254138
45.8,0.006430854316294213
45.900000000000006,0.00639000310762623
46.0,0.006349464987927443
46.1,0.006309234247662942
46.2,0.0062693050845666065
46.3,0.00622967161071277
46.400000000000006,0.006190327859049103
46.5,0.006151267790127695
46.6,0.006112485299318525
46.7,0.006073974222882614
46.8,0.006035728345431023
46.900000000000006,0.005997741406082441
47.0,0.005960007105537886
47.1,0.005922519112574398
47.2,0.005885271070854394
47.3,0.005848256605237529
47.400000000000006,0.005811469328716615
47.5,0.005774902848577634
47.6,0.0057385507730474215
47.7,0.005702406717523635
47.8,0.005666464311181802
47.900000000000006,0.00563071720276906
48.0,0.00559515906735136
48.1,0.005559783611710743
48.2,0.005524584580977759
48.3,0.005489555764194483
48.400000000000006,0.005454691000277642
48.5,0.0054199841836211895
48.6,0.0053854292697610145
48.7,0.0053510202810431425
48.8,0.0053167513117067825
48.900000000000006,0.005282616533552113
49.0,0.005248610200763817
49.1,0.005214726655155451
49.2,0.0051809603311256764
49.3,0.005147305760230009
49.400000000000006,0.0051137575760996845
49.5,0.005080310518850293
49.6,0.005046959439364977
49.7,0.00501369930382388
49.8,0.004980525197503194
49.900000000000006,0.004947432328881136
50.0,0.004914416033468985
50.1,0.004881471777361699
50.2,0.004848595160779691
50.3,0.004815781921466359
50.400000000000006,0.004783027937792086
50.5,0.004750329231681174
50.6,0.004717681971611324
50.7,0.0046850824753969025
50.8,0.004652527212343793
50.900000000000006,0.004620012805931259
51.0,0.004587536035804678
51.1,0.004555093839830435
51.2,0.00452268331593871
51.3,0.0044903017237550085
51.400000000000006,0.004457946486066406
51.5,0.004425615190085525
51.6,0.0043933055887506334
51.7,0.004361015601326404
51.8,0.00432874331456394
51.900000000000006,0.004296486982927255
52.0,0.004264245029279545
52.1,0.004232016044948
52.2,0.004199798789827327
52.3,0.0041675921921869195
52.400000000000006,0.004135395348536387
52.5,0.004103207522911083
52.6,0.004071028146409259
52.7,0.004038856816282016
52.8,0.004006693294871408
52.900000000000006,0.003974537508559263
53.0,0.003942389546410236
53.1,0.003910249658493535
53.2,0.0038781182544735597
53.3,0.0038459959015246167
53.400000000000006,0.0038138833225265113
53.5,0.0037817813938541838
53.6,0.003749691142946926
53.7,0.0037176137460237565
53.8,0.0036855505253759547
53.900000000000006,0.0036535029466926235
54.0,0.003621472616003156
54.1,0.0035894612769141166
54.2,0.0035574708071561953
54.3,0.003525503215491154
54.400000000000006,0.0034935606382180766
54.5,0.0034616453356323476
54.6,0.003429759688358394
54.7,0.0033979061936271495
54.8,0.0033660874613415754
54.900000000000006,0.0033343062101757848
55.0,0.0033025652633902024
55.1,0.003270867544734743
55.2,0.0032392160742090548
55.3,0.003207613963727567
55.400000000000006,0.0031760644125708773
55.5,0.003144570703122025
55.6,0.00311313619614703
55.7,0.003081764326315602
55.8,0.003050458597402173
55.900000000000006,0.003019222577707906
56.0,0.0029880598952491478
56.1,0.002956974233010682
56.2,0.002925969324044575
56.3,0.0028950489467917118
56.400000000000006,0.0028642169200695003
56.5,0.0028334770983532917
56.6,0.0028028333667406233
56.7,0.002772289636229752
56.8,0.0027418498388166886
56.900000000000006,0.0027115179226137954
57.0,0.002681297847047152
57.1,0.0026511935780590833
57.2,0.002621209083326604
57.3,0.0025913483275517594
57.400000000000006,0.0025616152677034832
57.5,0.0025320138484316297
57.6,0.002502547997472765
57.7,0.002473221621117279
57.8,0.002444038599689378
57.900000000000006,0.002415002783249788
58.0,0.0023861179871592134
58.1,0.002357387987932493
58.2,0.002328816519076656
58.3,0.002300407266920285
58.400000000000006,0.0022721638667995785
58.5,0.0022440898990585896
58.6,0.00221618888534799
58.7,0.0021884642849191948
58.8,0.002160919491145446
58.900000000000006,0.002133557827985619
59.0,0.0021063825467666306
59.1,0.002079396822903996
59.2,0.002052603752910178
59.3,0.0020260063513649717
59.400000000000006,0.001999607548227598
59.5,0.001973410186008703
59.6,0.0019474170173560052
59.7,0.0019216307025680995
59.8,0.0018960538073713397
59.900000000000006,0.0018706888007785723
60.0,0.0018455380530945358
60.1,0.0018206038341475655
60.2,0.0017958883114680922
60.3,0.0017713935488568842
60.400000000000006,0.0017471215049439175
60.5,0.0017230740319123111
60.6,0.0016992528744047479
60.7,0.0016756596685553555
60.8,0.001652295941178599
60.900000000000006,0.0016291631090926786
61.0,0.0016062624785850414
61.1,0.001583595244998335
61.2,0.0015611624925703166
61.3,0.0015389651942161393
61.400000000000006,0.0015170042116605126
61.5,0.0014952802955529492
61.6,0.0014737940857694285
61.7,0.0014525461119084305
61.8,0.0014315367937771427
61.900000000000006,0.0014107664421593353
62.0,0.0013902352595969933
62.1,0.0013699433413292123
62.2,0.0013498906763912786
62.3,0.001330077148751702
62.400000000000006,0.0013105025386187707
62.5,0.0012911665238315654
62.6,0.0012720686813703854
62.7,0.001253208488948275
62.8,0.001234585326738631
62.900000000000006,0.0012161984791411668
63.0,0.0011980471366733719
63.1,0.0011801303979624988
63.2,0.0011624472717797212
63.3,0.001144996679151271
63.400000000000006,0.0011277774556165136
63.5,0.001110788353422243
63.6,0.001094028043912613
63.7,0.0010774951199223845
63.8,0.001061188098192035
63.900000000000006,0.0010451054218864027
64.0,0.001029245463161646
64.10000000000001,0.0010136065257026461
64.2,0.000998186847401008
64.3,0.0009829846029957249
64.4,0.0009679979067422192
64.5,0.0009532248151447785
64.60000000000001,0.0009386633296945843
64.7,0.0009243113995839531
64.8,0.0009101669245106442
64.9,0.0008962277574001871
65.0,0.0008824917072113089
65.10000000000001,0.0008689565416810902
65.2,0.0008556199901056993
65.3,0.0008424797460833004
65.4,0.0008295334702635359
65.5,0.0008167787930757824
65.60000000000001,0.0008042133174376024
65.7,0.000791834621441073
65.8,0.0007796402610058021
65.9,0.0007676277725134133
66.0,0.0007557946754069025
66.10000000000001,0.0007441384747497051
66.2,0.0007326566637469058
66.3,0.0007213467262265117
66.4,0.0007102061390831485
66.5,0.0006992323746632663
66.60000000000001,0.0006884229031160975
66.7,0.0006777751946761597
66.8,0.0006672867219059916
66.9,0.0006569549618871908
67.0,0.0006467773983317171
67.10000000000001,0.0006367515236692512
67.2,0.0006268748410411411
67.3,0.0006171448662492512
67.4,0.0006075591296513074
67.5,0.0005981151779631767
67.60000000000001,0.000588810576024432
67.7,0.0005796429084827207
67.8,0.0005706097814180744
67.9,0.0005617088238924938
68.0,0.0005529376894369393
68.10000000000001,0.0005442940574682032
68.2,0.0005357756346356726
68.3,0.0005273801561008666
68.4,0.0005191053867449361
68.5,0.0005109491223091883
68.60000000000001,0.0005029091904628022
68.7,0.0004949834518105559
68.8,0.0004871698008161774
